Mortgage ID,Joint Life,Age 1,Gender 1,Life 1 Status Change Date,Age 2,Gender 2,Life 2 Status Change Date,LTV,AER,Loan Amount,Completion Date,Servicing Fee,Portfolio,Valuation Date
3373,Joint Life,78,Female,,80,Male,,0.399539213,0.049070208,64541.37,43549,0.0015,Internal,45657
3374,Joint Life,70,Male,,67,Female,,0.306433027,0.052628355,101726.38,43669,0.0015,Internal,45657
3375,Joint Life,78,Male,,78,Female,,0.447969821,0.049070208,83722.53,43542,0.0015,Internal,45657
3376,Single,68,Female,,,,,0.261183457,0.045627258,57380.37,43552,0.0015,Internal,45657
3377,Joint Life,73,Male,,70,Female,,0.362172563,0.052628355,125127.81,43560,0.0015,Internal,45657
3378,Joint Life,73,Male,,74,Female,,0.381724853,0.049070208,124210.15,43523,0.0015,Internal,45657
3379,Joint Life,78,Male,,68,Female,,0.269150219,0.045627258,52106.08,43524,0.0015,Internal,45657
3380,Joint Life,79,Male,,120,Female,45678,0.391081127,0.049070208,68804.73,43524,0.0015,Internal,45657
3381,Single,79,Male,,,,,0.421248869,0.049070208,116459.51,43552,0.0015,Internal,45657
3382,Joint Life,76,Female,,85,Male,,0.391343917,0.049070208,147032.91,43545,0.0015,Internal,45657
3383,Joint Life,71,Male,,68,Female,,0.345412068,0.051057223,276520.49,43670,0.0015,Internal,45657
3384,Single,69,Female,,,,,0.334876741,0.049070208,83210.52,43567,0.0015,Internal,45657
3385,Joint Life,82,Male,,77,Female,,0.451892965,0.049070208,1240333.84,43542,0.0015,Internal,45657
3386,Single,71,Female,,,,,0.36741489,0.049070208,68970.77,43535,0.0015,Internal,45657
3387,Joint Life,72,Male,,68,Female,,0.308157662,0.049070208,49898.84,43551,0.0015,Internal,45657
3388,Joint Life,71,Male,,66,Female,,0.205331305,0.049070208,23515.37,43532,0.0015,Internal,45657
3389,Joint Life,71,Male,,70,Female,,0.089648524,0.045627258,36614.23,43565,0.0015,Internal,45657
3390,Joint Life,79,Male,,79,Female,,0.298416753,0.050115575,79127.24,43531,0.0015,Internal,45657
3391,Joint Life,62,Male,,73,Female,,0.216739213,0.045627258,35343.39,43588,0.0015,Internal,45657
3392,Joint Life,72,Female,,74,Male,,0.313605203,0.042298535,157689.77,43602,0.0015,Internal,45657
3393,Single,71,Female,,,,,0.367736364,0.049070208,119658.41,43580,0.0015,Internal,45657
